question_id,ctchat,m3d,med3dvlm,medevalkit,medgemma,merlin,radfm,vila_m3_vista3d
valid_1016_b_1.nii.gz::2,0.00,0.66,0.00,0.33,0.00,0.00,0.00,0.00
valid_1016_b_1.nii.gz::3,0.33,0.00,0.66,0.66,0.00,0.00,0.00,0.00
valid_1016_b_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.66
valid_1016_b_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_1016_b_1.nii.gz::6,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.66
valid_1016_c_1.nii.gz::0,1.00,0.33,0.66,0.00,0.00,0.00,0.66,1.00
valid_1016_c_1.nii.gz::1,0.00,0.33,0.00,0.00,1.00,0.00,0.00,0.00
valid_1016_c_1.nii.gz::2,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
valid_1016_c_1.nii.gz::3,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00
valid_1016_c_1.nii.gz::4,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.00
valid_1016_c_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_1016_c_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1016_c_1.nii.gz::7,0.00,0.00,0.33,0.66,0.66,0.00,0.66,0.66
valid_1016_d_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
valid_1016_d_1.nii.gz::1,1.00,0.00,0.00,0.00,0.33,1.00,0.00,0.00
valid_1016_d_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
valid_1016_d_1.nii.gz::3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_1016_d_1.nii.gz::4,0.00,1.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1016_d_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1016_d_1.nii.gz::6,0.66,0.00,0.00,0.66,0.66,0.00,0.66,0.00
valid_1016_e_1.nii.gz::0,0.00,0.33,0.00,0.66,0.00,0.00,0.00,0.00
valid_1016_e_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.33,1.00,0.00
valid_1016_e_1.nii.gz::2,0.00,0.00,0.00,1.00,1.00,0.66,0.00,0.33
valid_1016_e_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
valid_1016_e_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1016_e_1.nii.gz::5,0.00,1.00,0.00,0.00,0.66,0.33,0.00,1.00
valid_1016_e_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1016_e_1.nii.gz::7,0.00,0.66,0.00,0.00,0.00,0.00,0.33,0.00
valid_1016_f_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_1016_f_1.nii.gz::1,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1016_f_1.nii.gz::2,0.66,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1016_f_1.nii.gz::3,1.00,0.33,1.00,1.00,1.00,0.33,1.00,1.00
valid_1016_f_1.nii.gz::4,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1016_f_1.nii.gz::5,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1016_f_1.nii.gz::6,1.00,0.33,0.66,0.66,1.00,0.33,0.33,1.00
valid_1017_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1017_a_1.nii.gz::1,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
valid_1017_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1017_a_1.nii.gz::3,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1017_a_1.nii.gz::4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1018_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1018_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1018_a_1.nii.gz::2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1019_a_1.nii.gz::0,0.66,0.00,0.33,0.00,0.00,0.66,0.00,0.00
valid_1019_a_1.nii.gz::1,0.00,0.66,0.00,0.00,0.33,0.66,0.00,0.00
valid_1019_a_1.nii.gz::2,0.00,0.00,0.00,0.66,0.00,0.00,0.66,0.00
valid_1019_a_1.nii.gz::3,0.00,0.33,0.33,0.00,0.00,0.00,1.00,0.00
valid_1019_a_1.nii.gz::4,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00
valid_1019_a_1.nii.gz::5,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_a_1.nii.gz::6,1.00,1.00,0.66,0.00,0.00,0.00,1.00,0.00
valid_1019_b_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_b_1.nii.gz::1,0.33,0.00,0.33,0.00,0.00,0.00,0.00,1.00
valid_1019_b_1.nii.gz::2,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00
valid_1019_b_1.nii.gz::3,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_b_1.nii.gz::4,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
valid_1019_b_1.nii.gz::5,0.00,0.00,0.00,1.00,1.00,0.00,0.66,0.00
valid_1019_b_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_c_1.nii.gz::0,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00
valid_1019_c_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.66
valid_1019_c_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_c_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_c_1.nii.gz::4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
valid_1019_c_1.nii.gz::5,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1019_c_1.nii.gz::6,0.66,0.00,0.33,0.00,0.33,0.00,0.00,0.00
valid_1019_c_1.nii.gz::7,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::0,1.00,0.00,0.00,0.33,0.00,0.66,1.00,0.00
valid_1019_d_1.nii.gz::1,0.00,0.00,0.33,0.33,1.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::2,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
valid_1019_d_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
valid_1019_d_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::7,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1019_d_1.nii.gz::9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_101_a_1.nii.gz::0,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00
valid_101_a_1.nii.gz::1,1.00,1.00,0.00,0.00,1.00,0.00,0.66,0.00
valid_101_a_1.nii.gz::2,1.00,0.66,0.66,0.00,0.00,0.00,0.00,0.00
valid_101_a_1.nii.gz::3,0.00,0.66,0.00,0.00,0.33,0.00,0.00,0.00
valid_101_a_1.nii.gz::4,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_101_a_1.nii.gz::5,0.66,0.00,0.00,0.00,0.33,0.00,1.00,0.00
valid_101_a_1.nii.gz::6,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.33
valid_101_b_1.nii.gz::0,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
valid_101_b_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_101_b_1.nii.gz::2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_101_b_1.nii.gz::3,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_101_b_1.nii.gz::4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_101_b_1.nii.gz::5,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_101_b_1.nii.gz::6,0.33,1.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_101_b_1.nii.gz::7,1.00,0.00,0.33,0.33,1.00,1.00,0.00,0.00
valid_101_b_1.nii.gz::8,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
valid_1020_a_1.nii.gz::0,1.00,0.00,0.33,1.00,0.66,0.33,1.00,0.00
valid_1020_a_1.nii.gz::1,1.00,0.33,0.33,1.00,1.00,0.66,1.00,1.00
valid_1020_a_1.nii.gz::2,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1021_a_1.nii.gz::0,0.00,1.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1021_a_1.nii.gz::1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
valid_1021_a_1.nii.gz::2,0.00,0.66,0.00,0.00,0.33,0.00,0.00,0.00
valid_1021_a_1.nii.gz::3,1.00,0.00,0.00,1.00,0.33,0.33,0.00,0.00
valid_1021_a_1.nii.gz::4,0.66,0.00,1.00,0.00,0.00,0.00,0.00,0.00
valid_1022_a_1.nii.gz::0,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00
valid_1022_a_1.nii.gz::1,0.00,0.00,0.33,0.66,0.00,0.00,0.00,0.00
valid_1022_a_1.nii.gz::2,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00
valid_1022_a_1.nii.gz::3,0.66,0.00,0.00,0.00,0.00,0.00,1.00,0.00
valid_1022_a_1.nii.gz::4,1.00,0.00,0.33,1.00,1.00,0.33,1.00,1.00
valid_1022_a_1.nii.gz::5,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
valid_1023_a_1.nii.gz::0,1.00,0.33,0.33,0.66,1.00,0.66,1.00,0.00
valid_1023_a_1.nii.gz::1,0.00,0.00,0.66,0.00,0.33,0.00,0.00,0.66
valid_1023_a_1.nii.gz::2,1.00,0.33,0.33,1.00,1.00,0.00,1.00,1.00
valid_1023_a_1.nii.gz::3,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1023_a_1.nii.gz::4,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00
valid_1023_a_1.nii.gz::5,1.00,0.33,1.00,1.00,1.00,1.00,1.00,1.00
valid_1023_a_1.nii.gz::6,0.00,0.66,0.00,0.00,0.00,0.66,0.00,0.66
valid_1024_a_1.nii.gz::0,0.00,0.66,0.00,0.00,0.66,0.00,1.00,0.00
valid_1024_a_1.nii.gz::1,1.00,0.33,1.00,0.00,0.00,0.00,1.00,1.00
valid_1024_a_1.nii.gz::2,0.66,0.33,0.33,0.66,1.00,0.00,0.00,0.00
valid_1024_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1024_a_1.nii.gz::4,0.00,0.33,0.66,0.00,0.00,0.00,0.33,0.66
valid_1024_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1024_a_1.nii.gz::6,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
valid_1024_a_1.nii.gz::7,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00
valid_1025_a_1.nii.gz::0,0.00,0.33,0.00,0.66,0.00,0.00,0.00,0.00
valid_1025_a_1.nii.gz::1,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00
valid_1025_b_1.nii.gz::0,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
valid_1025_b_1.nii.gz::1,1.00,0.33,1.00,1.00,1.00,1.00,0.00,0.00
valid_1025_c_1.nii.gz::0,1.00,1.00,1.00,1.00,0.66,0.00,0.00,0.66
valid_1025_c_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00
valid_1026_a_1.nii.gz::0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1026_a_1.nii.gz::1,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1026_a_1.nii.gz::2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1027_a_1.nii.gz::0,1.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1027_a_1.nii.gz::1,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00
valid_1027_a_1.nii.gz::2,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1027_a_1.nii.gz::3,0.00,0.00,0.00,0.00,1.00,0.00,0.66,0.00
valid_1027_a_1.nii.gz::4,0.66,0.00,1.00,0.33,0.66,0.33,0.00,0.00
valid_1027_a_1.nii.gz::5,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1028_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1028_a_1.nii.gz::1,0.33,0.00,0.00,0.33,0.66,0.00,1.00,0.00
valid_1028_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1028_a_1.nii.gz::3,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00
valid_1028_a_1.nii.gz::4,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1029_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1029_a_1.nii.gz::1,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00
valid_1029_a_1.nii.gz::2,1.00,0.33,0.33,1.00,1.00,1.00,1.00,1.00
valid_102_a_1.nii.gz::0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_102_a_1.nii.gz::1,0.33,0.33,0.00,0.00,0.33,0.00,0.00,0.00
valid_102_a_1.nii.gz::2,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_102_a_1.nii.gz::3,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.66
valid_102_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_102_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_102_a_1.nii.gz::6,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.33
valid_102_a_1.nii.gz::7,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_102_a_1.nii.gz::8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_102_a_1.nii.gz::9,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1030_a_1.nii.gz::0,1.00,0.00,0.00,0.33,0.00,1.00,1.00,0.00
valid_1030_a_1.nii.gz::1,0.00,0.66,0.66,0.00,0.00,0.66,0.00,0.00
valid_1030_a_1.nii.gz::2,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
valid_1030_a_1.nii.gz::3,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00
valid_1030_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.66,0.66,0.00,1.00
